date,open,high,low,close,volume,per,pbr,nasdaq_ma5,nasdaq_ma20,bond_u3y_ma5,bond_u3y_ma20,wti_ma5,nlp_pos,nlp_neg,nlp_neu,nlp_compound
2021-01-04,133.52,133.61,126.76,129.41,143300000,28.6,30.8,12841.274,12661.7955,0.168,0.1764,85.002,,,,
2021-01-05,128.89,131.74,128.43,131.01,97670000,28.6,30.8,12825.182,12679.532,0.168,0.1742,84.824,0.1419,0.7561,0.102,0.1567
2021-01-06,127.72,131.05,126.38,126.6,155090000,28.6,30.8,12803.296,12690.574,0.175,0.1745,84.268,0.1419,0.7561,0.102,0.1567
2021-01-07,128.36,131.63,127.86,130.92,109580000,28.6,30.8,12842.792,12714.8095,0.184,0.1763,83.682,0.1419,0.7561,0.102,0.1567
2021-01-08,132.43,132.63,130.23,132.05,105160000,28.6,30.8,12905.53,12757.9605,0.1948,0.1787,83.05,0.1419,0.7561,0.102,0.1567
2021-01-11,129.19,130.17,128.5,128.98,100620000,28.6,30.8,12973.126,12789.4915,0.2174,0.1835,82.612,0.1419,0.7561,0.102,0.1567
2021-01-12,128.5,129.69,126.86,128.8,91950000,28.6,30.8,13023.82,12824.2195,0.2234,0.1859,82.16,0.1419,0.7561,0.102,0.1567
2021-01-13,128.76,131.45,128.49,130.89,88640000,28.6,30.8,13101.452,12858.665,0.2256,0.1881,82.208,0.1419,0.7561,0.102,0.1567
2021-01-14,130.8,131,128.76,128.91,90220000,28.6,30.8,13110.484,12884.544,0.2256,0.1905,82.236,0.107,0.8256,0.0674,0.2313
2021-01-15,128.78,130.22,127,127.14,111600000,28.6,30.8,13069.79,12901.5595,0.222,0.1918,82.142,0.1571,0.762,0.0808,0.2421
2021-01-19,127.78,128.71,126.94,127.83,90760000,28.6,30.8,13101.94,12923.181,0.2134,0.1953,81.884,0.1571,0.762,0.0808,0.2421
2021-01-20,128.66,132.49,128.55,132.03,104320000,28.6,30.8,13178.904,12958.2615,0.2072,0.1966,81.472,0.1571,0.762,0.0808,0.2421
2021-01-21,133.8,139.67,133.59,136.87,120530000,28.6,30.8,13259.298,12997.6815,0.2006,0.1975,80.83,0.1571,0.762,0.0808,0.2421
2021-01-22,136.28,139.85,135.02,139.07,114460000,28.6,30.8,13345.382,13034.4385,0.197,0.1986,80.08,0.1571,0.762,0.0808,0.2421
2021-01-25,143.07,145.09,136.54,142.92,157610000,28.6,30.8,13472.88,13077.6825,0.1876,0.1998,79.426,0.1571,0.762,0.0808,0.2421
2021-01-26,143.6,144.3,141.37,143.16,98390000,28.6,30.8,13558.658,13118.7495,0.1846,0.2004,79.006,0.1571,0.762,0.0808,0.2421
2021-01-27,143.43,144.3,140.41,142.06,140840000,28.6,30.8,13521.328,13137.3085,0.182,0.2008,78.572,0.1881,0.7152,0.0967,0.3177
2021-01-28,139.52,141.99,136.7,137.09,142620000,28.6,30.8,13482.576,13161.6555,0.1816,0.2019,78.546,0.1881,0.7152,0.0967,0.3177
2021-01-29,135.83,136.74,130.21,131.96,177520000,28.6,30.8,13388.104,13171.6905,0.179,0.2021,78.508,0.1576,0.7586,0.0839,0.3
2021-02-01,133.75,135.38,130.93,134.14,106240000,28.6,30.8,13341.584,13197.446,0.177,0.1986,78.49,0.1535,0.7657,0.0807,0.1573
2021-02-02,135.73,136.31,134.61,134.99,83310000,28.6,30.8,13338.926,13243.1625,0.177,0.1963,78.51,0.3046,0.6559,0.0395,0.6193
